138,mufasa,41666,17491966,18876,1873,20907,2024-11-21 14:41:23.701,f,1663,8,Black
139,lifeofmg,123,25180,29,2,92,2023-11-18 08:38:23.395,f,1283,-76,White
140,AL3103,7104,6808481,2221,205,4678,2019-09-12 15:53:00.62,f,1224,13,Black
141,cougar1,861,420145,473,19,369,,f,1669,-5,Black
142,driverblag,8413,4990598,4016,302,4095,2024-11-21 22:16:18.167,f,1490,-8,White
143,psonio,2194,784680,1465,71,657,2024-10-26 21:21:24.636,f,1500,170,Black
144,H___N,2124,1968152,828,82,1212,2017-07-12 03:57:24.908,f,1595,-37,White
145,dbnp,25,0,22,1,2,,f,1200,,White
146,DangerCat,12137,6219512,6312,228,5597,2023-03-30 01:30:21.345,f,1640,-16,Black
147,chinekeboy,142,61041,87,2,53,2013-10-12 02:23:31.201,f,1500,440,Black
148,jimmy80,0,0,0,0,0,,f,1469,-12,White
149,oleh77,222,183219,82,13,127,,f,1388,8,White
150,Quixote91,740,307911,254,3,482,2014-02-21 12:30:31.213,f,1272,-10,Black
151,donchester,10,3856,3,0,7,,f,1474,94,White
152,jaquen81,556,429318,268,23,265,,f,1532,10,Black
153,kingofconcentration,210,125735,101,10,96,,f,1639,7,Black
154,zebrao,6679,3022853,3106,141,3432,2024-11-16 19:28:11.581,f,1512,-7,White
155,crazy2013,62,28555,34,0,28,,f,1874,87,White
156,treehugger,84158,13169331,50929,4067,29113,2024-11-21 17:26:20.16,f,1494,12,Black
157,MaxPax,1189,915399,697,21,471,2014-09-14 11:10:38.212,f,1608,0,White
158,snob,1207,849857,445,22,740,2013-11-03 17:35:21.291,f,1549,-14,White
159,frenchnovice,927,670896,365,31,531,,f,1456,14,Black
160,vblack,1992,994013,765,78,1147,2015-10-18 01:33:14.764,f,1480,11,Black
161,moonwalker,125,36178,87,2,36,,f,1957,19,White
162,-jack69-,1338,504476,1023,85,167,2015-02-18 07:51:32.821,f,2036,-43,Black
163,61Doc,606,223243,283,24,298,,f,1609,-3,Black
164,chessdotcomsucks,0,0,0,0,0,,f,1533,104,Black
